article,distance,destination,child
"Variations on the name ""Abegg""",1,Bartolomeo Cristofori,Piano
Socialist state,10,Existence,Sovereign state
Soviet Union,11,Existence,Socialist state
Sukhoi Su-27,12,Existence,Soviet Union
Flanker,13,Existence,Sukhoi Su-27
Watercourse,11,Existence,Body of water
River,12,Existence,Watercourse
Missouri River,13,Existence,River
White Earth River (North Dakota),14,Existence,Missouri River
"Ottaviano de' Medici, 1 Prince of Ottajano",20,Existence,Italy
Lleida,21,Existence,Catalonia
"Gran Passeig de Ronda, Lleida",22,Existence,Lleida
"Wausau, Wisconsin",14,Existence,County seat
Louis Marchetti House,15,Existence,"Wausau, Wisconsin"
United States Armed Forces,13,Existence,Military
Brigadier general (United States),14,Existence,United States Armed Forces
Elmer E. Hall,15,Existence,Brigadier general (United States)
Thomas Eidson,0,The Last Ride (novel),The Last Ride (novel)
The Last Ride (novel),0,The Last Ride (novel),Thomas Eidson
News,4,Existence,Information
Journalists,5,Existence,News
Newsroom,6,Existence,Journalists
Kisha club,7,Existence,Newsroom
Kisha,8,Existence,Kisha club
Fiber,13,Existence,Nature
Textile,14,Existence,Fiber
Clothing,15,Existence,Textile
Fashion accessory,16,Existence,Clothing
Brim (hat),17,Existence,Fashion accessory
Picture hat,18,Existence,Brim (hat)
Cartwheel hat,19,Existence,Picture hat
Paralympic,4,Competitive,Multi-sport event
Wayne Lewis,5,Competitive,Paralympic
Star system,12,Existence,Star
Binary star system,13,Existence,Star system
Kepler-432,14,Existence,Binary star system
Singapore,13,Existence,Island country
Mediacorp Suria,14,Existence,Singapore
Suria,15,Existence,Mediacorp Suria
Bill Oddie,22,Existence,Officer of the Order of the British Empire
Middle Latin,16,Existence,Latin
Vita Mahumeti,17,Existence,Middle Latin
Acroria,9,Existence,Genus
Depression (geology),8,Existence,Geology
Lake,9,Existence,Depression (geology)
Deadman Lake (Utah),10,Existence,Lake
Slavic peoples,16,Existence,Indo-European languages
East Slavs,17,Existence,Slavic peoples
Belarusians,18,Existence,East Slavs
Elena Bolotina,19,Existence,Belarusians
Alya bint Ahmed Al Thani,9,Existence,Qatar
Winter sport,3,Competitive,Sport
Skiing,4,Competitive,Winter sport
Cross-country skiing,5,Competitive,Skiing
Vasaloppet de la Sergerie,6,Competitive,Cross-country skiing
Gradobranitelj,9,Existence,Serbs
Juan Gabriel Patino,5,Competitive,Association football
Railway Labor Executives' Association,10,Existence,Rail transport
Not-for-profit,17,Existence,Organization
New 42nd Street,18,Existence,Not-for-profit
Salmon-class destroyer,15,Existence,Destroyer
React (media franchise),8,Existence,Media franchise
Fine Brothers,9,Existence,React (media franchise)
Lia Marie Johnson,10,Existence,Fine Brothers
Professional,6,Existence,Profession
Yevhen Selin,7,Existence,Professional
Jean-Charles Pichegru,11,Existence,France
Germanic languages,16,Existence,Indo-European languages
West Germanic languages,17,Existence,Germanic languages
German language,18,Existence,West Germanic languages
German Reich,19,Existence,German language
German Empire,20,Existence,German Reich
Imperial German Army,21,Existence,German Empire
95th Infantry Division (German Empire),22,Existence,Imperial German Army
95th Infantry Division,23,Existence,95th Infantry Division (German Empire)
Honshu,14,Existence,Japan
Ezo,15,Existence,Honshu
Ainu people,16,Existence,Ezo
Amemasu,17,Existence,Ainu people
List of water deities,18,Existence,Amemasu
Neptune (mythology),19,Existence,List of water deities
King Neptune,20,Existence,Neptune (mythology)
Brigadier General,13,Existence,Armed forces
Wilbard Shikongo,14,Existence,Brigadier General
Burgundy (region),22,Existence,Regions of France
Felipe Bigarny,23,Existence,Burgundy (region)
Television in Canada,1,List of towns in Quebec,Montreal
CBC Television,2,List of towns in Quebec,Television in Canada
The Secret History of 9/11,3,List of towns in Quebec,CBC Television
Construction,14,Existence,Building
Architect,15,Existence,Construction
Carlos Arroyo (architect),16,Existence,Architect
Carlos Arroyo (disambiguation),17,Existence,Carlos Arroyo (architect)
The True Story,7,Existence,Documentary film
Marco Weymans,11,Existence,Belgium
Gmina Koronowo,20,Existence,Gmina
Wierzchucin Krolewski,21,Existence,Gmina Koronowo
Kan du vissla Johanna? (film),8,Existence,Sweden
Flight-Plan,14,Existence,Japan
A-Teens discography,8,Existence,Sweden
Commonwealth Games,4,Competitive,Multi-sport event
1930 British Empire Games,5,Competitive,Commonwealth Games
George Bird (athlete),6,Competitive,1930 British Empire Games
Dasht-e Zarrin Rural District,15,Existence,Rural Districts of Iran
"Sagamore, Massachusetts",18,Existence,Census-designated place
Sagamore station,19,Existence,"Sagamore, Massachusetts"
Musicologist,6,Existence,Music
Firudin Shushinski,7,Existence,Musicologist
Jujuy Province,19,Existence,Provinces of Argentina
Santuario de Tres Pozos,20,Existence,Jujuy Province
British Columbia,19,Existence,Provinces and territories of Canada
Leo Awards,20,Existence,British Columbia
Leo Awards for Best Youth or Children's Program or Series,21,Existence,Leo Awards
Prenesta anaemicalis,15,Existence,Moth
"Rutland County, Vermont",14,Existence,County (United States)
"Wallingford, Vermont",15,Existence,"Rutland County, Vermont"
Alvin J. Johnson,16,Existence,"Wallingford, Vermont"
Peloponnese,11,Existence,Peninsula
Ancient Arcadia,12,Existence,Peloponnese
Aphrodisium (Arcadia),13,Existence,Ancient Arcadia
Foncquevillers,14,Existence,Communes of France
History of the United States,17,Existence,North America
National Register of Historic Places,18,Existence,History of the United States
National Register of Historic Places listings in Indiana,19,Existence,National Register of Historic Places
List of Indiana state historical markers,20,Existence,National Register of Historic Places listings in Indiana
List of Indiana state historical markers in Pulaski County,21,Existence,List of Indiana state historical markers
Rugby Union of Russia,5,Competitive,Rugby union
Russia national rugby union team,6,Competitive,Rugby Union of Russia
Rugby union in Russia,7,Competitive,Russia national rugby union team
Rugby in Russia,8,Competitive,Rugby union in Russia
Legal advice,13,Existence,Law
Practice of law,14,Existence,Legal advice
Lawyer,15,Existence,Practice of law
P. Kenneth Peterson,16,Existence,Lawyer
Min River (Fujian),13,Existence,River
Port of Fuzhou,14,Existence,Min River (Fujian)
List of ports in China,15,Existence,Port of Fuzhou
English people,8,Existence,Nation
Tom Widdowson,9,Existence,English people
Animateur,6,Existence,Music
Daniel Moult,7,Existence,Animateur
Pharmacy,11,Existence,Drug
Andreae & Co.,12,Existence,Pharmacy
Andreae,13,Existence,Andreae & Co.
Protectorate,9,Existence,International law
Associated state,10,Existence,Protectorate
Federated States of Micronesia,11,Existence,Associated state
1993 Micronesian parliamentary election,12,Existence,Federated States of Micronesia
Princely states,12,Existence,Vassal state
Mahi Kantha Agency,13,Existence,Princely states
"Corny, Eure",14,Existence,Communes of France
Pennsylvania,14,Existence,U.S. state
State-related,15,Existence,Pennsylvania
The Pennsylvania State University,16,Existence,State-related
Old Main (Pennsylvania State University),17,Existence,The Pennsylvania State University
List of Penn State Nittany Lions in the NFL draft,18,Existence,Old Main (Pennsylvania State University)
Local Color (book),13,Existence,United States
Local color,14,Existence,Local Color (book)
Gamasiyab Rural District (Hamadan Province),15,Existence,Rural Districts of Iran
Gerd-e Cham,16,Existence,Gamasiyab Rural District (Hamadan Province)
Minuscule 551,17,Existence,Greek language
Track and field,3,Competitive,Sport
Combined event,4,Competitive,Track and field
Decathlon,5,Competitive,Combined event
Atanas Andonov,6,Competitive,Decathlon
Mystrocnemis fossulata,15,Existence,Beetle
Louis Pelletier,13,Existence,United States
Mary Andrews (politician),1,Maine,Maine
Economic systems,12,Existence,System
Socialist,13,Existence,Economic systems
Revolutionary Democratic Group,14,Existence,Socialist
The Way We Went Wild,10,Existence,BBC
Machine (mechanical),9,Existence,Mechanical structure
Typewriter,10,Existence,Machine (mechanical)
Manuscript,11,Existence,Typewriter
Ende (artist),12,Existence,Manuscript
Clipping (morphology),5,Existence,Linguistics
Sitcom,6,Existence,Clipping (morphology)
Animated sitcom,7,Existence,Sitcom
Bob's Burgers,8,Existence,Animated sitcom
Slumber Party (Bob's Burgers),9,Existence,Bob's Burgers
San Francisco Giants,8,Competitive,Professional baseball
New York Giants (NL),9,Competitive,San Francisco Giants
1954 New York Giants (MLB) season,10,Competitive,New York Giants (NL)
The Catch (baseball),11,Competitive,1954 New York Giants (MLB) season
The Catch,12,Competitive,The Catch (baseball)
Swift,14,Existence,Bird
Bare-legged swiftlet,15,Existence,Swift
Pacific Ocean,13,Existence,Earth
Punta Sal,14,Existence,Pacific Ocean
Sri Lanka,13,Existence,Island country
Districts of Sri Lanka,14,Existence,Sri Lanka
Jaffna District,15,Existence,Districts of Sri Lanka
Varuthalaivilan,16,Existence,Jaffna District
Myszewo,7,Existence,Village
56th Punjabi Rifles (Frontier Force),28,Existence,British Indian Army
Elvira Garcia y Garcia,0,,
"St. Louis County, Missouri",14,Existence,U.S. state
"Normandy, Missouri",15,Existence,"St. Louis County, Missouri"
Longeaux,14,Existence,Communes of France
Geographical region,5,Existence,Geography
Transcaucasia,6,Existence,Geographical region
Azerbaijan,7,Existence,Transcaucasia
Administrative divisions of Azerbaijan,8,Existence,Azerbaijan
Qakh Rayon,9,Existence,Administrative divisions of Azerbaijan
"Uzuntala, Qakh",10,Existence,Qakh Rayon
Statement (logic),3,Existence,Logic
Explanation,4,Existence,Statement (logic)
Business model,5,Existence,Explanation
Subscription business model,6,Existence,Business model
Pay television,7,Existence,Subscription business model
MTV,8,Existence,Pay television
Danny Brown,9,Existence,MTV
Danny Brown discography,10,Existence,Danny Brown
Scott Gurvey,16,Existence,New York City
Lord Howe currawong,15,Existence,Passerine
Subculture,5,Existence,Culture
Hacker (hobbyist),6,Existence,Subculture
Electromagnetic Field (festival),7,Existence,Hacker (hobbyist)
Larva,10,Existence,Animal
Cutworm,11,Existence,Larva
Owlet moth,12,Existence,Cutworm
Bagisara laverna,13,Existence,Owlet moth
Forli,14,Existence,Comune
Monte Poggiolo,15,Existence,Forli
"Santiago, Chile",15,Existence,Capital (political)
LAN Chile Flight 107,16,Existence,"Santiago, Chile"
Miandorud-e Kuchak Rural District,15,Existence,Rural Districts of Iran
Bala Abdang,16,Existence,Miandorud-e Kuchak Rural District
"Youngstown, Ohio",14,Existence,County seat
"Economy of Youngstown, Ohio",15,Existence,"Youngstown, Ohio"
Liadytidae,15,Existence,Coleoptera
Brandico,14,Existence,Comune
Orthodox Judaism,10,Existence,Judaism
Chabad,11,Existence,Orthodox Judaism
Manis Friedman,12,Existence,Chabad
Manis (given name),13,Existence,Manis Friedman
Manis (disambiguation),14,Existence,Manis (given name)
Substantive,6,Existence,Word
Sovereignty,7,Existence,Substantive
Andorra,8,Existence,Sovereignty
Cristina Llovera,9,Existence,Andorra
Rufous-tailed weaver,8,Existence,Species
Government of Karnataka,12,Existence,Government
Sri Jayadeva Institute of Cardiology,13,Existence,Government of Karnataka
FIBA Under-19 World Championship for Women,5,Competitive,Basketball
1985 FIBA Under-19 World Championship for Women,6,Competitive,FIBA Under-19 World Championship for Women
Arena,4,Existence,Theatre
Olimpijski Bazen Otoka,5,Existence,Arena
Archaeological site,15,Existence,Archaeology
Eridu,16,Existence,Archaeological site
Alulim,17,Existence,Eridu
Mononymous person,18,Existence,Alulim
Molly Smitten-Downes,19,Existence,Mononymous person
Pangarap na Bituin,15,Existence,Philippines
Heist film,7,Existence,Subgenre
Finding Steve McQueen,8,Existence,Heist film
Inhabitants,15,Existence,House
Cubans,16,Existence,Inhabitants
Hector Vinent,17,Existence,Cubans
Orienteering,3,Competitive,Sport
Foot orienteering,4,Competitive,Orienteering
World Orienteering Championships,5,Competitive,Foot orienteering
Edgars Bertuks,6,Competitive,World Orienteering Championships
Mieczyslaw Wisniewski,5,Competitive,Association football
Anime club,2,Animation,Anime
Social club,3,Animation,Anime club
Gentlemen's club,4,Animation,Social club
Bohemian Club,5,Animation,Gentlemen's club
Cremation of Care,6,Animation,Bohemian Club
International boundary,5,Existence,Geography
Trans-boundary river,6,Existence,International boundary
Mekong River,7,Existence,Trans-boundary river
Greater Mekong Subregion,8,Existence,Mekong River
GMS Environment Operations Center,9,Existence,Greater Mekong Subregion
Auction,9,Existence,Trade
Smart market,10,Existence,Auction
Combinatorial auction,11,Existence,Smart market
Korean War,12,Existence,War
Battle of Hill Eerie,13,Existence,Korean War
Graphic novelist,9,Existence,Comic book
Abhishek Singh (artist),10,Existence,Graphic novelist
Chile,17,Existence,South America
Jose Francisco Nava,18,Existence,Chile
Frame Film Festival,16,Existence,India
Martinique,17,Existence,Island
Economy of Martinique,18,Existence,Martinique
Romance novels,7,Existence,Genre
Brenda Joyce (author),8,Existence,Romance novels
Brenda Joyce,9,Existence,Brenda Joyce (author)
Berbers,18,Existence,Indigenous peoples of Africa
Almoravid dynasty,19,Existence,Berbers
List of state leaders in 1080,20,Existence,Almoravid dynasty
Barry Jenner,15,Existence,Philadelphia
Jenner (name),16,Existence,Barry Jenner
Jorgen Warborn,0,,
Austronesian peoples,8,Existence,Southeast Asia
Sundanese people,9,Existence,Austronesian peoples
Sunda kingdom,10,Existence,Sundanese people
Pakuan Pajajaran,11,Existence,Sunda kingdom
Radio,1,Telecommunication,Telecommunication
Radio in the Flemish Community,2,Telecommunication,Radio
Commonwealth (U.S. state),7,Existence,Terminology
Pittsburgh,8,Existence,Commonwealth (U.S. state)
Commercial Journal,9,Existence,Pittsburgh
Painting,11,Existence,Paint
Oil painting,12,Existence,Painting
Mountain Landscape with Rainbow,13,Existence,Oil painting
Polymeric,9,Existence,Molecule
Starch,10,Existence,Polymeric
Pancake,11,Existence,Starch
Okonomiyaki,12,Existence,Pancake
Prenzlau,7,Existence,Town
Adolf Wilhelm Theodor Stahr,8,Existence,Prenzlau
Stahr,9,Existence,Adolf Wilhelm Theodor Stahr
Pacific Coast Sectional Figure Skating Championships,4,Competitive,Figure skating competition
"Pine Station, Indiana",15,Existence,Unincorporated area
